Date,Centre_Name,Commodity_Name,Price
04-02-09,KOLKATA,Onion,NA
04-02-09,GUWAHATI,Onion,NA
04-02-09,SHILLONG,Onion,NA
04-02-09,AIZWAL,Onion,NA
04-02-09,KOHIMA,Onion,NA
04-02-09,AGARTALA,Onion,NA
04-02-09,BENGALURU,Onion,1200
04-02-09,T.PURAM,Onion,NA
04-02-09,CHENNAI,Onion,1200
04-02-09,HYDERABAD,Onion,NA
05-02-09,CHANDIGARH,Onion,NA
05-02-09,DELHI,Onion,937
05-02-09,SHIMLA,Onion,NA
05-02-09,SRINAGAR,Onion,NA
05-02-09,JAMMU,Onion,NA
05-02-09,AMRITSAR,Onion,1800
05-02-09,LUDHIANA,Onion,1800
05-02-09,LUCKNOW,Onion,1600
05-02-09,DEHRADUN,Onion,NA
05-02-09,RAIPUR,Onion,NA
05-02-09,AHMEDABAD,Onion,NA
05-02-09,BHOPAL,Onion,NA
05-02-09,MUMBAI,Onion,NA
05-02-09,JAIPUR,Onion,NA
05-02-09,PATNA,Onion,NA
05-02-09,RANCHI,Onion,NA
05-02-09,BHUBANESHWAR,Onion,1400
05-02-09,KOLKATA,Onion,NA
05-02-09,GUWAHATI,Onion,NA
05-02-09,SHILLONG,Onion,NA
05-02-09,AIZWAL,Onion,NA
05-02-09,KOHIMA,Onion,NA
05-02-09,AGARTALA,Onion,NA
05-02-09,BENGALURU,Onion,1200
05-02-09,T.PURAM,Onion,NA
05-02-09,CHENNAI,Onion,NA
05-02-09,HYDERABAD,Onion,NA
06-02-09,CHANDIGARH,Onion,NA
06-02-09,DELHI,Onion,937
06-02-09,SHIMLA,Onion,NA
06-02-09,SRINAGAR,Onion,NA
06-02-09,JAMMU,Onion,NA
06-02-09,AMRITSAR,Onion,1800
06-02-09,LUDHIANA,Onion,1800
06-02-09,LUCKNOW,Onion,1600
06-02-09,DEHRADUN,Onion,NA
06-02-09,RAIPUR,Onion,NA
06-02-09,AHMEDABAD,Onion,NA
06-02-09,BHOPAL,Onion,900
06-02-09,MUMBAI,Onion,NA
06-02-09,JAIPUR,Onion,NA
06-02-09,PATNA,Onion,NA
06-02-09,RANCHI,Onion,NA
06-02-09,BHUBANESHWAR,Onion,1400
06-02-09,KOLKATA,Onion,NA
06-02-09,GUWAHATI,Onion,NA
06-02-09,SHILLONG,Onion,NA
06-02-09,AIZWAL,Onion,NA
06-02-09,KOHIMA,Onion,NA
06-02-09,AGARTALA,Onion,NA
06-02-09,BENGALURU,Onion,1200
06-02-09,T.PURAM,Onion,NA
06-02-09,CHENNAI,Onion,NA
06-02-09,HYDERABAD,Onion,NA
09-02-09,CHANDIGARH,Onion,NA
09-02-09,DELHI,Onion,862
09-02-09,SHIMLA,Onion,NA
09-02-09,SRINAGAR,Onion,NA
09-02-09,JAMMU,Onion,NA
09-02-09,AMRITSAR,Onion,NA
09-02-09,LUDHIANA,Onion,NA
09-02-09,LUCKNOW,Onion,1600
